scenarios,locs,techs,carriers,units,flow_out_sum
132,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,235467095.9556903
132,ESP,el_import,electricity,kilowatt hour,10737044753.933165
132,PRT_1,electrolysis,hydrogen,kg,12391379908.482569
132,PRT_2,electrolysis,hydrogen,kg,2324128.874156326
132,PRT_1,existing_pv,electricity,kilowatt hour,1392251123.621008
132,PRT_1,existing_wind,electricity,kilowatt hour,15556360664.578604
132,PRT_1,heat_storage_big,heat,unit,19840506.88512555
132,PRT_2,heat_storage_big,heat,unit,19272098.20245251
132,PRT_1,heat_storage_small,heat,unit,524146965.2642561
132,PRT_2,heat_storage_small,heat,unit,559137136.1532396
132,PRT_1,hydro_reservoir,electricity,kilowatt hour,2118399185.743097
132,PRT_2,hydro_reservoir,electricity,kilowatt hour,381698325.5241871
132,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2222903437.5126634
132,PRT_2,hydro_run_of_river,electricity,kilowatt hour,321726169.15435797
132,PRT_1,methane_boiler,heat,megajoule,344047454.2982333
132,PRT_2,methane_boiler,heat,megajoule,563637798.6913044
132,PRT_1,methane_storage,methane,unit,2867.623890629203
132,PRT_2,methane_storage,methane,unit,2868.118307671959
132,PRT_1,open_field_pv,electricity,kilowatt hour,72492849714.02325
132,PRT_1,pumped_hydro,electricity,kilowatt hour,6465309211.061023
132,PRT_2,pumped_hydro,electricity,kilowatt hour,1028901265.4431089
132,PRT_1,roof_mounted_pv,electricity,kilowatt hour,644698266.9849167
132,PRT_1,waste_supply,waste,kilowatt hour,1029895405.0922875
132,PRT_2,waste_supply,waste,kilowatt hour,1007981126.7200818
132,PRT_1,wind_offshore,electricity,kilowatt hour,688977249.8613656
132,PRT_1,wind_onshore,electricity,kilowatt hour,68609568644.52527
133,PRT_1,battery,electricity,kilogram,1810421840.3893
133,PRT_2,battery,electricity,kilogram,3649444677.4506516
133,PRT_1,biofuel_boiler,heat,megajoule,624073729.0811793
133,PRT_2,biofuel_boiler,heat,megajoule,100768843.60102224
133,PRT_1,biofuel_supply,biofuel,kilogram,893265289.0204158
133,PRT_2,biofuel_supply,biofuel,kilogram,214277456.38090995
133,PRT_1,biofuel_to_diesel,diesel,kilogram,147023599.3043059
133,PRT_2,biofuel_to_diesel,diesel,kilogram,136299352.48335788
133,PRT_1,biofuel_to_methane,methane,cubic meter,73223633.0963216
133,PRT_2,biofuel_to_methane,methane,cubic meter,91886.53568550185
133,PRT_1,biofuel_to_methanol,methanol,kilogram,110340931.95062007
133,PRT_2,biofuel_to_methanol,methanol,kilogram,3441579.3980481485
133,PRT_1,ccgt,electricity,kilowatt hour,14726282.117757801
133,PRT_2,ccgt,electricity,kilowatt hour,14695208.8227048
133,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,175038182.7090291
133,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,72640600.50619781
133,PRT_1,chp_hydrogen,electricity,kilowatt hour,107375275.8597272
133,PRT_2,chp_hydrogen,electricity,kilowatt hour,110667377.27759619
133,PRT_1,chp_methane_extraction,electricity,kilowatt hour,46078365.8400543
133,PRT_2,chp_methane_extraction,electricity,kilowatt hour,53060353.960669205
133,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,233367555.7535696
133,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,228749839.4904304
133,ESP,el_import,electricity,kilowatt hour,8260337159.3451605
133,PRT_1,electrolysis,hydrogen,kg,5038003.382845194
133,PRT_2,electrolysis,hydrogen,kg,12883187774.572336
133,PRT_1,existing_pv,electricity,kilowatt hour,1498271809.261957
133,PRT_1,existing_wind,electricity,kilowatt hour,15853077857.150602
133,PRT_1,heat_storage_big,heat,unit,19606785.720888246
133,PRT_2,heat_storage_big,heat,unit,20649999.46686537
133,PRT_1,heat_storage_small,heat,unit,438109769.39400214
133,PRT_2,heat_storage_small,heat,unit,429932871.15103
133,PRT_1,hydro_reservoir,electricity,kilowatt hour,2136385383.086441
133,PRT_2,hydro_reservoir,electricity,kilowatt hour,385001259.0172406
